exp_id,type,hypothesis,base_config,changed_factor,fixed_factors,seeds,status,run_dir,best_checkpoint,metrics_path,paper_name,notes
g3_daily_rolling_forecast_readout_development_v01,development ensemble-control comparison,A unique posterior state or maximum-posterior candidate improves full-stage daily rolling forecasts relative to a multi-trajectory ensemble control,g3_daily_rolling_forecast_readout_development_v01.json,single-state primary readout and explicitly labeled multi-trajectory ensemble control from the same full-interaction posterior,exact sealed ideal inputs daily origins truth schedule noise and observation-free forecast contract,reused sealed blocks and bootstrap indices,completed,results/23_hbv_multilead_joint_uncertainty/g3_daily_rolling_forecast_readout_development_v01,not applicable,summary.json,G3 daily rolling forecast readout development,Historical arrays unchanged; scope correction names posterior unique state with posterior-weighted parameters as primary and current_multiple_states as ensemble control; replacement and general-repair gates failed; independent reconstruction verified 8640 origins
g3_daily_combined_state_error_audit_v01,read-only state error audit,Daily posterior combined state is closer to same-day synthetic truth than fixed-filter and open-loop states over all assimilation days,g3_daily_combined_state_error_audit_v01.json,one posterior combined state directly compared with same-day truth over all 540 days,exact sealed ideal evidence and matched-block bootstrap,3309761,completed,results/23_hbv_multilead_joint_uncertainty/g3_daily_combined_state_error_audit_v01,not applicable,summary.json,G3 all-day combined-state error audit,Independent recomputation passed with zero maximum difference; all five hydrologic-state RMSE values improved versus fixed filter and open loop; no time-since-switch grouping
g3_deterministic_unique_state_forecast_attribution_v01,mechanism attribution audit,A direct deterministic forecast reveals whether parameter readout hydrologic stores or routing memory causes forecast degradation,g3_deterministic_unique_state_forecast_attribution_v01.json,four complete-state sources crossed with three parameter sources,exact sealed ideal evidence all 540 origins same-stage targets and no future observations,reused sealed blocks,completed,results/23_hbv_multilead_joint_uncertainty/g3_deterministic_unique_state_forecast_attribution_v01,not applicable,summary.json,G3 deterministic unique-state attribution,All pre-experiment gates and independent reference recomputation passed; exact truth state was best but true parameters did not improve the estimated posterior state
g3_deterministic_updated_state_ranking_v01,mechanism attribution audit,The hydrologic-store-best saved state is also forecast-best under one matched true-parameter trajectory,g3_deterministic_updated_state_ranking_v01.json,saved complete state source with true-stage parameters,exact sealed ideal evidence all 540 origins and matched-block bootstrap,reused sealed blocks,failed,results/23_hbv_multilead_joint_uncertainty/g3_deterministic_updated_state_ranking_v01,not applicable,not accepted,G3 deterministic updated-state ranking,Forecast arrays were valid but independent verification exposed an undefined relative ratio against an effectively zero one-day oracle RMSE; recovered as v02
g3_deterministic_updated_state_ranking_v02,mechanism attribution audit,The hydrologic-store-best saved state is also forecast-best under one matched true-parameter trajectory,g3_deterministic_updated_state_ranking_v02.json,saved complete state source with true-stage parameters and undefined near-zero relative ratios reported as null,exact sealed ideal evidence all 540 origins and matched-block bootstrap,reused sealed blocks,completed,results/23_hbv_multilead_joint_uncertainty/g3_deterministic_updated_state_ranking_v02,not applicable,summary.json,G3 deterministic updated-state ranking,Independent reference recomputation passed; truth state was best at all leads; joint state led point estimates at days 1-4 and parameter-only at days 5-7 but every paired interval crossed zero
g3_forecast_propagation_form_comparison_v01,mechanism attribution audit,Direct deterministic propagation improves the same unique-state weighted-parameter forecast relative to historical covariance propagation,g3_forecast_propagation_form_comparison_v01.json,forecast propagation form only with matched state parameters origins targets and truth,exact sealed deterministic and historical readout evidence,reused sealed blocks and bootstrap indices,completed,results/23_hbv_multilead_joint_uncertainty/g3_forecast_propagation_form_comparison_v01,not applicable,summary.json,G3 forecast propagation-form comparison,Independent array recomputation passed with zero difference; direct deterministic propagation was 2.51-22.61 percent worse than complete-covariance propagation across leads 1-7
g3_forecast_sensitive_state_error_attribution_v01,exploratory synthetic mechanism attribution,One-at-a-time truth replacement identifies which complete-state errors change deterministic forecast skill,g3_forecast_sensitive_state_error_attribution_v01.json,one complete-state component or predefined state group replaced by same-day truth,exact sealed ideal evidence all 540 daily origins true-stage parameters same-stage targets and one deterministic trajectory,reused sealed blocks and bootstrap seed 20260801,completed,results/23_hbv_multilead_joint_uncertainty/g3_forecast_sensitive_state_error_attribution_v01,not applicable,summary.json,G3 forecast-sensitive state-error attribution,Independent recomputation passed at 2.84e-14; hydrologic-store correction explained the forecast gap; routing correction stayed below 0.86 percent; lower groundwater dominated short leads and soil moisture long leads; exploratory synthetic only
g3_fixed_process_parameter_candidate_controlled_forecast_v01,controlled synthetic forecast audit,Compare deterministic forecasts from a single fixed-parameter filter posterior and the standard fully interacting three-parameter-model global posterior under the same forecast readout,g3_fixed_process_parameter_candidate_controlled_forecast_v01.json,single-filter assimilation method versus standard fully interacting three-model assimilation method,same process_2 covariance same trained_center forecast parameters same forcing origins targets and deterministic trajectory,reused sealed blocks and bootstrap seed 20260801,completed,results/23_hbv_multilead_joint_uncertainty/g3_fixed_process_parameter_candidate_controlled_forecast_v01,not applicable,independent_verification.json,G3 fixed-process assimilation-method forecast comparison,Independent reference recomputation passed at 1.42e-14; full-IMM global-posterior forecasts were 29.88-118.59 percent worse across leads 1-7; the comparison does not isolate candidate count or state interaction; scope correction sidecar applies
g3_fixed_process_parameter_candidate_complete_state_audit_v01,controlled synthetic complete-state audit,Compare the standard fully interacting three-parameter-model global posterior with a single fixed-parameter filter posterior for same-day complete-state accuracy,g3_fixed_process_parameter_candidate_complete_state_audit_v01.json,single-filter assimilation method versus standard fully interacting three-model assimilation method,same process_2 covariance same observations all 540 days all 15 states and no forecast,reused sealed blocks and bootstrap seed 20260801,completed,results/23_hbv_multilead_joint_uncertainty/g3_fixed_process_parameter_candidate_complete_state_audit_v01,not applicable,independent_verification.json,G3 fixed-process assimilation-method state comparison,Independent recomputation passed with zero difference; all five hydrologic stores improved 15.81-68.78 percent all ten routing-memory states worsened 10.63-20.83 percent and complete standardized error improved 45.03 percent; the comparison does not isolate candidate count or state interaction; scope correction sidecar applies
g3_fixed_process_state_interaction_global_posterior_audit_v01,controlled synthetic same-day state audit,Test whether the standard fully interacting method improves daily global-posterior state accuracy relative to the same three filters without state interaction,g3_fixed_process_state_interaction_global_posterior_audit_v01.json,state and covariance interaction mixing full versus none,same three fixed parameter models same process_2 covariance same initial conditions observations forcing transition probabilities probability updates global posterior combination all 540 days all 15 states and no forecast,reused sealed forcing truth observations and bootstrap seed 20260801,completed,results/23_hbv_multilead_joint_uncertainty/g3_fixed_process_state_interaction_global_posterior_audit_v01,not applicable,independent_verification.json,G3 interaction-only global-posterior state audit,Independent reconstruction passed with zero maximum difference; full interaction reduced complete standardized RMSE by 3.711 percent but the paired interval crossed zero so the complete-state decision is inconclusive; routing memory improved 7.118 percent while hydrologic stores were inconclusive; no forecast and no time-since-switch grouping
g3_fixed_process_state_interaction_controlled_forecast_v01,controlled synthetic forecast audit,Test whether state and covariance interaction improves one-through-seven-day deterministic forecasts relative to no interaction,g3_fixed_process_state_interaction_controlled_forecast_v01.json,state and covariance interaction full versus none,same three fixed parameter models same process_2 covariance same trained_center forecast parameters same forcing origins targets one global posterior state and one deterministic trajectory,reused sealed blocks and bootstrap seed 20260801,completed,results/23_hbv_multilead_joint_uncertainty/g3_fixed_process_state_interaction_controlled_forecast_v01,not applicable,independent_verification.json,G3 interaction-only global-posterior forecast audit,Independent reference recomputation passed at 1.42e-14; full-interaction RMSE was 1.21-1.67 percent lower across leads 1-7 but every paired MSE interval crossed zero; no lead met the preregistered improvement rule; HBV synthetic mechanism evidence only
g3_truth_parameter_switch_state_response_causal_control_v01,controlled synthetic truth-state causal audit,Matched old-versus-new true-parameter propagation isolates each switch effect on all fifteen truth states,g3_truth_parameter_switch_state_response_causal_control_v01.json,true parameter vector continue old versus switch to new,same pre-switch state forcing process perturbations thirty-day window projection rule and no observations,reused sealed blocks and saved perturbations,completed,results/23_hbv_multilead_joint_uncertainty/g3_truth_parameter_switch_state_response_causal_control_v01,not applicable,independent_verification.json,G3 true-parameter switch state-response causal control,Independent equation-path verification passed at 4.55e-13; 16 of 48 events had a pre-forcing new-parameter-domain projection all in equifinal_diverse_1 to trained_center; current three-stage generator is retained only as a labelled abrupt-parameter stress test and a separate fixed-parameter state-jump recovery experiment is required; no observations assimilation or forecast
g3_state_domain_consistent_parameter_switch_confirmation_v01,prospective synthetic parameter switch confirmation,A fully interacting three-filter bank forms clear and stable posterior dominance for the new true parameter candidate after switches that require no truth-state clipping,g3_state_domain_consistent_parameter_switch_confirmation_v01.json,true fixed parameter candidate at days 181 and 361,shared state-domain parameters parFC and parCWH; fixed lower-groundwater process noise; fixed observation noise; forcing structure; initial conditions; candidate bank; transition probabilities,3701001-3703008,completed,results/23_hbv_multilead_joint_uncertainty/g3_state_domain_consistent_parameter_switch_confirmation_v01,not applicable,summary.json,G3 no-clipping parameter switch confirmation,All three directed transitions 16 of 16 with exact 95 percent interval lower bound 0.7941; zero truth-state projections across 12960 transitions and 48 switch boundaries; blinded visual review 48 of 48 clear_success with zero numeric-visual disagreement; independent verification passed 2026-08-04 with zero maximum reconstruction difference and no production-module import; only 3 of 6 ordered candidate pairs tested; snowpack and meltwater stay zero under constant 10 C forcing so 13 of 15 states are active; closure record docs/plans/2026-08-04-id23-state-domain-consistent-parameter-switch-confirmation-closure.md
g3_joint_parameter_process_noise_switch_confirmation_v01,prospective synthetic joint switch confirmation,"When the true parameter candidate and the true lower-groundwater process-noise level switch together at known stage boundaries with no truth-state clipping, the fully interacting nine-candidate bank keeps parameter-margin identification undegraded and noise-margin identification follows the single-factor pattern",g3_state_domain_consistent_parameter_switch_confirmation_v01.json,"true parameter candidate and true lower-groundwater process-noise level switch together at days 181 and 361, bound one to one in the truth",shared state-domain parameters parFC and parCWH; fixed observation noise; forcing structure; initial conditions; nine-candidate factorized bank; factorized transition probabilities; both margin rules; blinded visual protocol,3801001-3805008 (unconsumed),failed,not produced,not applicable,not produced,G3 joint parameter and process-noise switch confirmation,"Frozen and stopped before any output: the aligned rotation placed high process noise (standard deviation 16 mm/day) on fast-draining candidate_3 whose lower-groundwater storage median is 33 mm, so the truth zero-clipping gate correctly rejected all 24 trajectories; formal seeds unconsumed; config retained as g3_joint_parameter_process_noise_switch_confirmation_v01.json; recovered as v02"
g3_joint_parameter_process_noise_switch_confirmation_v02,prospective synthetic joint switch confirmation,"When the true parameter candidate and the true lower-groundwater process-noise level switch together at known stage boundaries with no truth-state clipping, the fully interacting nine-candidate bank keeps parameter-margin identification undegraded and noise-margin identification follows the single-factor pattern",g3_state_domain_consistent_parameter_switch_confirmation_v01.json,"true parameter candidate and true lower-groundwater process-noise level switch together at days 181 and 361, bound one to one in the truth",shared state-domain parameters parFC and parCWH; fixed observation noise; forcing structure; initial conditions; nine-candidate factorized bank; factorized transition probabilities; both margin rules; blinded visual protocol,3801001-3805008 (unconsumed),failed,not produced,not applicable,not produced,G3 joint parameter and process-noise switch confirmation,"Frozen and stopped before any output: high noise moved to deep-storage candidate_1, but stage inheritance carried 19 to 36 mm of lower-groundwater storage across the boundary into candidate_1 stages whose recovery time constant is about 175 days, so the gate rejected 6 trajectories on days 181-196 and 364-378; formal seeds unconsumed; config sha256 284f32eec66fb5e01b57ec7f9ebf03192b30d7631b22b1c55d2e84a0985c2207; recovered as v03"
g3_joint_parameter_process_noise_switch_confirmation_v03,prospective synthetic joint switch confirmation,"When the true parameter candidate and the true lower-groundwater process-noise level switch together at known stage boundaries with no truth-state clipping, the fully interacting nine-candidate bank keeps parameter-margin identification undegraded and noise-margin identification follows the single-factor pattern",g3_state_domain_consistent_parameter_switch_confirmation_v01.json,"true parameter candidate and true lower-groundwater process-noise level switch together at days 181 and 361, bound one to one in the truth",shared state-domain parameters parFC and parCWH; fixed observation noise; forcing structure; initial conditions; nine-candidate factorized bank; factorized transition probabilities; both margin rules; blinded visual protocol,3801001-3803008 forcing process-noise observation-noise; 3804001 display order,superseded,results/23_hbv_multilead_joint_uncertainty/g3_joint_parameter_process_noise_switch_confirmation_v03,not applicable,results/23_hbv_multilead_joint_uncertainty/g3_joint_parameter_process_noise_switch_confirmation_v03/switch_response_summary_numeric.csv,G3 joint parameter and process-noise switch confirmation,"Run completed and physically sound: zero truth projections across 12960 transitions, zero boundary projections, normalisation error 3.33e-16, 48 switch events, blinded visual review collected and sealed before any numeric unblinding. Superseded by v04 solely because the v03 independent verifier could never report success: three integrity entries carried false to mean correctly-not-imported while the aggregator required every entry to be true, and those entries were hard-coded constants that verified nothing. Its status-failed verification report is retained as evidence of that defect. Config sha256 debcdd458a1c6960a5f5e50b5b3bf4e69355983d2733480f080f263b812179c4"
g3_joint_parameter_process_noise_switch_confirmation_v04,prospective synthetic joint switch confirmation,"When the true parameter candidate and the true lower-groundwater process-noise level switch together at known stage boundaries with no truth-state clipping, the fully interacting nine-candidate bank keeps parameter-margin identification undegraded and noise-margin identification follows the single-factor pattern",g3_state_domain_consistent_parameter_switch_confirmation_v01.json,"true parameter candidate and true lower-groundwater process-noise level switch together at days 181 and 361, bound one to one in the truth",shared state-domain parameters parFC and parCWH; fixed observation noise; forcing structure; initial conditions; nine-candidate factorized bank; factorized transition probabilities; both margin rules; blinded visual protocol,3801001-3803008 forcing process-noise observation-noise; 3804001 display order,completed,results/23_hbv_multilead_joint_uncertainty/g3_joint_parameter_process_noise_switch_confirmation_v04,not applicable,results/23_hbv_multilead_joint_uncertainty/g3_joint_parameter_process_noise_switch_confirmation_v04/switch_response_summary_numeric.csv,G3 joint parameter and process-noise switch confirmation,"Closure version; PASSES the frozen rule, but the verdict depends on a post-unblinding label-attribution clarification whose independence is limited (see below). Parameter margin numeric 16/16 in all three directions with 95 percent lower bound 0.794093 and median response day 0, matching the sealed parameter-only confirmation exactly; final success (numeric and visual) 16/16 in all three directions. Noise margin final 16/16 high-to-low, 15/16 medium-to-high, 1/16 low-to-medium where low-to-medium was preregistered as expected not to pass. Scientific conclusion, worded as preregistered: under joint switching the parameter dimension is identified without interference from the simultaneous noise switch, and the noise dimension inherits the single-factor channel limit; the phrase 'identifies the unique combination' is forbidden. ATTRIBUTION CAVEAT: the reviewer labelled ten panels while blind but did not state which subplot each flag belonged to, so the sealed blinded record placed every flag on both margins; because the truth binds parameter to noise one to one, those ten events are simultaneously the parameter candidate_3-to-candidate_1 and the noise low-to-medium transition. After unblinding, and after being shown both the numeric pattern and the panel shapes, the reviewer attributed all ten flags to the noise margin, which turns that parameter direction from 6/16 to 16/16. The original blinded record is preserved unmodified and the clarification is sealed separately with full timing disclosure in ..._v04_visual_review_amendment_v01; this visual gate is therefore NOT as strong as the fully blinded 48/48 gate of the parameter-only confirmation. Joint unique-combination readout is descriptive only: true combination first-ranked 97.34, 92.62 and 46.78 percent of days with mean probability 0.9151, 0.7998 and 0.3927; candidate_1 plus medium noise loses to candidate_1 plus low noise. Bit-identical to v03 across all 27 evidence arrays, both numeric decision files and all 48 panel image hashes. Repaired verifier passed with 17 of 17 integrity entries true and zero reconstruction difference. Config sha256 2ca2c7cd288614f79d1a772c81148fa37742b9275820a2b561a78c70376e8763; closure record docs/plans/2026-08-05-id23-joint-parameter-process-noise-switch-confirmation-closure.md"
