exp_id,type,hypothesis,base_config,changed_factor,fixed_factors,seeds,status,run_dir,best_checkpoint,metrics_path,paper_name,notes
h11_common_filter_process_sd_3p0_v01,indirect_lower_zone_noise_control,increasing common assumed lower-zone groundwater process standard deviation changes parameter identification and history-conditioned performance,h08_evidence_only_no_transition_regularization_v01,change only common assumed lower-zone groundwater process standard deviation from 1.0 to 3.0,truth lower-zone process noise 1.0; candidates; forcing; observations; duration law; splits; seeds; network; evidence-only objective; training budget,exact H08 seed policy,completed_indirect_control,results/23_hbv_multilead_joint_uncertainty/h11_common_filter_process_sd_3p0_v01,results/23_hbv_multilead_joint_uncertainty/h11_common_filter_process_sd_3p0_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h11_common_filter_process_sd_3p0_v01/metrics.json,indirect lower-zone filter process noise control 3.0,Valid only as an indirect cross-state control because parK1 acts on the upper-zone groundwater state; it does not test direct matched-state compensation
h12_suz_assumed_filter_process_sd_0p1_v01,matched_state_filter_noise_sensitivity,restricting upper-zone groundwater state correction exposes wrong parK1 candidates,h08_evidence_only_no_transition_regularization_v01,move truth and filter process noise to the upper-zone groundwater state and set common filter standard deviation to 0.1,truth upper-zone pre-projection process noise 1.0; candidates; forcing; observations; duration law; splits; seeds; network; evidence-only objective; training budget,exact H08 seed policy,completed_hold,results/23_hbv_multilead_joint_uncertainty/h12_suz_assumed_filter_process_sd_0p1_v01,results/23_hbv_multilead_joint_uncertainty/h12_suz_assumed_filter_process_sd_0p1_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h12_suz_assumed_filter_process_sd_0p1_v01/metrics.json,direct upper-zone state compensation sensitivity 0.1,Verified run; probability and forecast capability gates failed; exploratory wrong-candidate true-flow residual fell 2.722 percent while upper-zone state error increased 0.733 percent
h13_suz_assumed_filter_process_sd_0p3_v01,matched_state_filter_noise_sensitivity,moderate upper-zone groundwater state correction changes wrong parK1 candidate compensation,h08_evidence_only_no_transition_regularization_v01,move truth and filter process noise to the upper-zone groundwater state and set common filter standard deviation to 0.3,truth upper-zone pre-projection process noise 1.0; candidates; forcing; observations; duration law; splits; seeds; network; evidence-only objective; training budget,exact H08 seed policy,completed_hold,results/23_hbv_multilead_joint_uncertainty/h13_suz_assumed_filter_process_sd_0p3_v01,results/23_hbv_multilead_joint_uncertainty/h13_suz_assumed_filter_process_sd_0p3_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h13_suz_assumed_filter_process_sd_0p3_v01/metrics.json,direct upper-zone state compensation sensitivity 0.3,Verified run; probability and forecast capability gates failed; exploratory wrong-candidate true-flow residual fell 13.081 percent while upper-zone state error increased 3.966 percent
h14_suz_assumed_filter_process_sd_1p0_v01,matched_state_filter_noise_sensitivity,matched upper-zone process noise makes wrong parK1 candidates require larger state correction than the correct candidate,h08_evidence_only_no_transition_regularization_v01,move truth and filter process noise to the upper-zone groundwater state with matched standard deviation 1.0,truth upper-zone pre-projection process noise 1.0; candidates; forcing; observations; duration law; splits; seeds; network; evidence-only objective; training budget,exact H08 seed policy,completed_hold,results/23_hbv_multilead_joint_uncertainty/h14_suz_assumed_filter_process_sd_1p0_v01,results/23_hbv_multilead_joint_uncertainty/h14_suz_assumed_filter_process_sd_1p0_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h14_suz_assumed_filter_process_sd_1p0_v01/metrics.json,direct upper-zone state compensation matched baseline,Verified run; registered criterion failed because state error increased 18.414 percent; wrong-candidate correction was 4.048 times the correct candidate and exploratory true-flow residual fell 42.433 percent
h15_suz_assumed_filter_process_sd_3p0_v01,matched_state_filter_noise_sensitivity,enlarged upper-zone process covariance lets wrong parK1 candidates absorb observations through larger state corrections,h08_evidence_only_no_transition_regularization_v01,move truth and filter process noise to the upper-zone groundwater state and set common filter standard deviation to 3.0,truth upper-zone pre-projection process noise 1.0; candidates; forcing; observations; duration law; splits; seeds; network; evidence-only objective; training budget,exact H08 seed policy,completed_hold,results/23_hbv_multilead_joint_uncertainty/h15_suz_assumed_filter_process_sd_3p0_v01,results/23_hbv_multilead_joint_uncertainty/h15_suz_assumed_filter_process_sd_3p0_v01/history_best_checkpoint.pt,results/23_hbv_multilead_joint_uncertainty/h15_suz_assumed_filter_process_sd_3p0_v01/metrics.json,direct upper-zone state compensation sensitivity 3.0,Verified run; probability and forecast capability gates failed; exploratory wrong-candidate true-flow residual fell 55.387 percent while upper-zone state error increased 62.593 percent
h16_long_history_contract_preflight_v01,generation_contract_preflight,long histories can be generated with frozen duration-dependent targets and no schedule-conditioned initialization before training,h05_stronger_parameter_switch_capability_v01,replace two forced switches with a bounded semi-Markov duration law and calibrated-parameter warmup,three parK1 candidates; fifteen-state truth; process and observation noise; forcing generator; future full interaction and global posterior contract,forcing 16102 prefix; process 16103 prefix; observation 16104 prefix; schedule 16105 prefix,completed_preflight_hold,results/23_hbv_multilead_joint_uncertainty/h16_long_history_contract_preflight_v01,,results/23_hbv_multilead_joint_uncertainty/h16_long_history_contract_preflight_v01/preflight_report.json,long-history generation and method-contract preflight,Atomic evidence preserved; self-review found the future training view exposed block identifiers and schedule seeds that can reconstruct true labels so the version-1 GO decision is superseded
h16_long_history_contract_preflight_v02,generation_contract_preflight,metadata-free long histories can be generated with frozen duration-dependent targets and no schedule-conditioned initialization before training,h16_long_history_contract_preflight_v01,remove block identifiers and every random seed from the future strict-training view while keeping the generated experiment identical,three parK1 candidates; fifteen-state truth; duration hazard; 52 blocks; all data seeds; process and observation noise; forcing generator; global posterior forecast contract,exact H16 version-1 seed policy,completed_preflight_go,results/23_hbv_multilead_joint_uncertainty/h16_long_history_contract_preflight_v02,,results/23_hbv_multilead_joint_uncertainty/h16_long_history_contract_preflight_v02/preflight_report.json,long-history generation and metadata-free method-contract preflight,Checksum-verified correction with all 26 saved data arrays bit-identical to version 1; 398 switch events minimum directed count 58 signal ratio 2.252149953222632 zero projection schedule-independent initialization and no identifiers seeds or truth in the training view; no learned probability state or forecast claim
h17_supervised_active_row_probability_upper_bound_v01,supervised_probability_upper_bound,a causal recurrent transition network can learn duration-dependent active-source-row probabilities when supplied only as synthetic supervision targets,h16_long_history_contract_preflight_v02,add direct active-row probability supervision and compare three recurrent initializations against one learned static matrix,three parK1 candidates; 52 long-history blocks; full fifteen-state and covariance interaction; observations; process noise; output bounds,static 1710001; recurrent 1710101 1710102 1710103,completed_supervised_upper_bound_hold,results/23_hbv_multilead_joint_uncertainty/h17_supervised_active_row_probability_upper_bound_v01,,results/23_hbv_multilead_joint_uncertainty/h17_supervised_active_row_probability_upper_bound_v01/metrics.json,supervised active-row probability-learning ceiling,Checksum-verified HOLD; each-seed oracle-Brier reductions 18.75 20.36 23.21 percent and hazard-error reductions 16.36 17.70 25.58 percent all below the 50 percent gate; legality and causality passed; H18 was not registered or run
h17a_shared_hazard_supervised_probability_v01,supervised_probability_repair,a source-invariant single hazard output can learn the frozen duration risk more reliably than nine independent logits,h17_supervised_active_row_probability_upper_bound_v01,change only recurrent network output parameterization from nine logits to one shared switch hazard,H16 arrays and splits; frozen H17 static reference; recurrent seeds; optimizer; 60 epochs; validation rule; unweighted test gates,recurrent 1710101 1710102 1710103,completed_supervised_repair_hold,results/23_hbv_multilead_joint_uncertainty/h17a_shared_hazard_supervised_probability_v01,,results/23_hbv_multilead_joint_uncertainty/h17a_shared_hazard_supervised_probability_v01/metrics.json,shared-hazard supervised probability repair,Verified HOLD; Brier reductions 0.189 to 0.282 percent and hazard-error reductions 1.248 to 2.050 percent; H18 remains unauthorized
h17b_active_row_cross_entropy_supervised_probability_v01,supervised_probability_repair,soft-target cross-entropy can provide stronger gradients for duration-dependent switching risk than the original squared probability loss,h17_supervised_active_row_probability_upper_bound_v01,change only recurrent training objective from active-row Brier loss to active-row soft-target cross-entropy,H16 arrays and splits; frozen H17 static reference; full-matrix network; recurrent seeds; optimizer; 60 epochs; validation rule; unweighted test gates,recurrent 1710101 1710102 1710103,completed_supervised_repair_hold,results/23_hbv_multilead_joint_uncertainty/h17b_active_row_cross_entropy_supervised_probability_v01,,results/23_hbv_multilead_joint_uncertainty/h17b_active_row_cross_entropy_supervised_probability_v01/metrics.json,cross-entropy supervised probability repair,Verified HOLD; Brier reductions 25.519 to 28.591 percent and hazard-error reductions 27.794 to 31.029 percent; H18 remains unauthorized
h17c_age_source_balanced_supervised_probability_v01,supervised_probability_repair,square-root inverse age-source weighting can prevent common young-regime days from dominating the original supervised probability loss,h17_supervised_active_row_probability_upper_bound_v01,change only recurrent training sample weighting from uniform to training-derived square-root inverse age-source frequency,H16 arrays and splits; frozen H17 static reference; full-matrix network; active-row Brier objective; recurrent seeds; optimizer; 60 epochs; validation rule; unweighted test gates,recurrent 1710101 1710102 1710103,completed_supervised_repair_hold,results/23_hbv_multilead_joint_uncertainty/h17c_age_source_balanced_supervised_probability_v01,,results/23_hbv_multilead_joint_uncertainty/h17c_age_source_balanced_supervised_probability_v01/metrics.json,age-source-balanced supervised probability repair,Verified HOLD; Brier reductions 0.200 to 0.675 percent while hazard error increased 3.831 to 4.985 percent; H18 remains unauthorized
h17d_explicit_causal_duration_cross_entropy_supervised_probability_v01,supervised_probability_repair,an explicit causal mode-duration belief can resolve the H17B supervised probability failure,h17b_active_row_cross_entropy_supervised_probability_v01,change only transition architecture from recurrent history readout to explicit causal mode-duration belief,H16 arrays and splits; frozen H17 static reference; cross-entropy objective; uniform weights; initialization seeds; optimizer; 60 epochs; validation rule; unweighted diagnostic gates,recurrent initialization 1710101 1710102 1710103,implementation_failed_before_checkpoint,results/23_hbv_multilead_joint_uncertainty/h17d_explicit_causal_duration_cross_entropy_supervised_probability_v01,,results/23_hbv_multilead_joint_uncertainty/h17d_explicit_causal_duration_cross_entropy_supervised_probability_v01/metrics.json,explicit causal duration supervised probability repair,First optimizer update produced non-finite duration gradients before any checkpoint; staging preserved; this is not a scientific HOLD; H18 remains unauthorized
h17d_explicit_causal_duration_cross_entropy_supervised_probability_v02,supervised_probability_repair,an explicit causal mode-duration belief can resolve the H17B supervised probability failure,h17b_active_row_cross_entropy_supervised_probability_v01,change only transition architecture from recurrent history readout to explicit causal mode-duration belief; numerical revision preserves forward values and detaches recursion only below frozen 1e-12 mode probability,H16 arrays and splits; frozen H17 static reference; cross-entropy objective; uniform weights; initialization seeds; optimizer; 60 epochs; validation rule; unweighted diagnostic gates,recurrent initialization 1710101 1710102 1710103,completed_supervised_repair_diagnostic_hold,results/23_hbv_multilead_joint_uncertainty/h17d_explicit_causal_duration_cross_entropy_supervised_probability_v02,,results/23_hbv_multilead_joint_uncertainty/h17d_explicit_causal_duration_cross_entropy_supervised_probability_v02/metrics.json,explicit causal duration supervised probability repair implementation revision 2,Diagnostic HOLD; Brier reductions 7.675 to 8.888 percent and hazard-error reductions 6.835 to 7.847 percent; old test is development diagnostic only; H18 remains unauthorized
h17p_fresh_duration_coverage_preflight_v01,reserved_coverage_preflight,a fresh schedule-only scan can provide natural blocks and separate rare-duration coverage without reading model outputs or final reserve targets,h16_long_history_contract_preflight_v02,add a frozen fresh seed namespace with separate natural-core and duration-coverage layers,H16 duration law; 300-day blocks; schedule-only selection; no forcing observations states filters checkpoints predictions or final reserve targets,fresh 64-bit preflight namespace rooted at 16300000000,completed_reserved_coverage_preflight_go,results/23_hbv_multilead_joint_uncertainty/h17p_fresh_duration_coverage_preflight_v01,,results/23_hbv_multilead_joint_uncertainty/h17p_fresh_duration_coverage_preflight_v01/coverage_report.json,fresh duration coverage preflight,Verified schedule-only GO after 2929 candidates and 130 accepted coverage blocks; final reserve remains unread and H18 remains unauthorized
h17e_monotone_piecewise_linear_age_risk_supervised_probability_v01,supervised_probability_repair,a monotone piecewise-linear age-risk representation can recover duration-conditioned transition probabilities more accurately than the smooth H17D representation,h17d_explicit_causal_duration_cross_entropy_supervised_probability_v02,replace only the smooth age-risk network with 31 uniformly spaced monotone piecewise-linear logit-correction knots,H16 arrays and splits; frozen H17 static reference; explicit duration recursion; cross-entropy objective; uniform weights; initialization seeds; optimizer; 60 epochs; validation rule; unweighted diagnostic gates,recurrent initialization 1710101 1710102 1710103,completed_supervised_repair_diagnostic_hold,results/23_hbv_multilead_joint_uncertainty/h17e_monotone_piecewise_linear_age_risk_supervised_probability_v01,,results/23_hbv_multilead_joint_uncertainty/h17e_monotone_piecewise_linear_age_risk_supervised_probability_v01/metrics.json,monotone piecewise-linear age-risk supervised probability repair,Diagnostic HOLD; Brier reductions 1.097 to 1.099 percent and hazard-error reductions 1.791 to 1.795 percent; monotonicity and causality passed; final reserve remains unread and H18 remains unauthorized
h17f_monotone_piecewise_age_risk_learning_rate_0p075_supervised_probability_v01,supervised_probability_repair,a one-time larger optimization scale can test whether the frozen monotone piecewise-linear age-risk representation was limited by insufficient parameter movement,h17e_monotone_piecewise_linear_age_risk_supervised_probability_v01,change only AdamW learning rate from 0.003 to 0.075,H16 arrays and splits; frozen H17 static reference; explicit causal duration recursion; 31 uniform monotone piecewise knots; cross-entropy objective; uniform weights; AdamW algorithm; weight decay 0.0001; gradient clip norm 1.0; full-batch 24-block updates; 60 epochs; checkpoint rule; recurrent initialization seeds; both unweighted 50 percent diagnostic gates,recurrent initialization 1710101 1710102 1710103,completed_supervised_repair_diagnostic_pass,results/23_hbv_multilead_joint_uncertainty/h17f_monotone_piecewise_age_risk_learning_rate_0p075_supervised_probability_v01,,results/23_hbv_multilead_joint_uncertainty/h17f_monotone_piecewise_age_risk_learning_rate_0p075_supervised_probability_v01/metrics.json,monotone piecewise-linear age-risk learning-rate scale repair,Checksum-verified supervised upper-bound run; decision DEVELOPMENT_DIAGNOSTIC_PASS_FRESH_CONFIRMATION_REQUIRED_H18_REMAINS_UNAUTHORIZED; H18 was not registered or run
h17r_monotone_piecewise_age_risk_learning_rate_0p075_fresh_reserved_confirmation_v01,fresh_reserved_confirmation,the three frozen H17F checkpoints independently retain at least 50 percent reductions in both supervised probability errors on one previously unread natural reserve and every frozen rare-duration source-by-age cell,h17f_monotone_piecewise_age_risk_learning_rate_0p075_supervised_probability_v01,none; evaluation-only confirmation on a new H17P final-reserve seed namespace,H16 base parameters and physical generator contract; 300 assimilation days plus 7-day tail; 90-day warmup; three parK1 candidates; frozen duration law; SLZ process standard deviation 1.0; observation standard deviation 0.15; zero projection; H17P final-reserve namespace and schedule-only coverage rule; 120-block natural core; rare-duration thresholds; frozen H17 static reference; three frozen H17F epoch-44 checkpoints; unweighted Brier and hazard MAE; all 42 fifty-percent gates; one-open rule; no training; no H18,H17P 64-bit namespace base 16300000000 with final_reserve stage code 2; natural schedule ordinals 1-120; coverage candidate ordinals 1-20000; forcing process observation by accepted rank; process_resample ordinal accepted_rank*1000+attempt 1-99,completed_fresh_reserved_confirmation_hold,results/23_hbv_multilead_joint_uncertainty/h17r_monotone_piecewise_age_risk_learning_rate_0p075_fresh_reserved_confirmation_v01,seed1710101@942051209af69128ea373a2a7521a767781a1e5797fc821d372747f7d550c00b; seed1710102@fc233237584a312070b8eb1c8cc3718066cddc0603cada1add264ae9e0bc2b82; seed1710103@81af6e45a08179cb81d255386ed59fc32b426ed907ca5fa1d613af9f48d47535,results/23_hbv_multilead_joint_uncertainty/h17r_monotone_piecewise_age_risk_learning_rate_0p075_fresh_reserved_confirmation_v01/metrics.json,fresh reserved synthetic supervised duration-probability confirmation,preregistration_manifest_sha256=f1a83d9cd6c92746efc845abb8bfffa3a0d1ad577476a96eccbdde8f3dd4d60b; one reserve-open event completed; saved and independently replayed performance gates 27/42 (6/6 natural and 21/36 rare; all 15 failures age50+); scientific HOLD; terminal package burned unpublished because the causal verifier mixed 120-block and one-block batch shapes; postmortem_sha256=d76f837cc3b5c6a757d82495347bea55f2398f1105c3d6350e0f8c899b84984b; same-identifier rerun additional sampling and threshold change forbidden; H18 remains unauthorized
h18_observation_only_state_update_v01,confirmatory_state_update,causal history-conditioned transitions improve the fifteen-state global posterior over a learned static matrix and a fixed matrix under strict observation-only training,h16_long_history_contract_preflight_v02,only the transition matrix generation rule across three methods,three parK1 candidates; long-history duration-hazard truth; SLZ process sd 1.0; observation sd 0.15; 90-day warmup; 300 assimilation days; splits 96/24/400; evidence-only loss with zero multi-lead and zero regularizer weights; AdamW lr 0.003 wd 0.0001 clip 1.0 minibatch 8 epochs 40; validation-best checkpoint restored; evaluation generated only after checkpoint selection,namespace 21000000000; history initialization 1810101 1810102 1810103; bootstrap 20260901-20260920,completed_state_update_hold_h18f_prespecified,results/23_hbv_multilead_joint_uncertainty/h18_observation_only_state_update_v01,history_seed_1810101@epoch21; history_seed_1810102@epoch33; history_seed_1810103@epoch38; static@epoch4,results/23_hbv_multilead_joint_uncertainty/h18_observation_only_state_update_v01/metrics.json,observation-only three-method state update confirmation,"Independently verified: all_verified true; fixed-arm replay difference exactly 0.0 at the runner batch shape (the H17R batch-shape defect is avoided). PRIMARY ENDPOINT FAILED. static minus history seed-mean thirteen-state RMSE 8.0593e-04, 97.5 percent paired-block interval [4.3356e-04, 1.1626e-03] EXCLUDES zero, but below the preregistered branch-B threshold 3.4406e-03. Anchor G fixed minus static was -4.284e-06 with interval containing zero, so the anchor collapsed and branch B fired exactly as prespecified; the 5 percent branch-B floor was set by the drafting assistant and flagged revocable when frozen. Descriptive secondaries all favour history: mode accuracy +4.84 points [4.17, 5.50]; switch-hazard MAE 0.0472 static versus 0.0275-0.0298 history; active-row Brier 5.91e-03 versus 4.52-5.03e-03; per-seed contrasts 8.40e-04, 8.30e-04, 7.47e-04 all with intervals excluding zero. Evaluation 400 unseen blocks, 3030 switch events, all six directed transitions above 490. Causality gate initially reported false from a DEFECTIVE PROBE (backpropagating the constant row-sum of a row-stochastic matrix); corrected single-entry probe in causality_audit_v2.json passes for all three seeds (future gradient exactly 0.0, past gradient 1.45e-04 to 9.35e-04). Verifier semantic criterion was changed after its first run from bit-identity to relative tolerance plus decision invariance, because bit-identity is unsatisfiable for a deliberately independent reimplementation; worst discrepancy 2.78e-17 versus smallest decision margin 6.57e-05. The decision is HOLD under both implementations. H18F is prespecified but NOT authorized; running it requires a new user decision."
