claim_id,paper_element,claim,artifact,source_files,script_or_command,status,notes
C11,Figure/table captions and reviewer-risk checklist,Captions and risk checklist encode the intended claim boundaries for submission.,figure_table_captions.md; reviewer_risk_checklist.md,MANIFEST.json; tables/fairness_audit.csv; tables/parameter_accounting.csv; claims_limitations.md,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_package_state,Use the risk checklist before every manuscript export.
C12,Final submission readiness memo,"The package is ready for paper drafting and internal pre-submission review, with residual risks stated.",final_submission_readiness_memo.md,MANIFEST.json; tables/main_benchmark.csv; tables/oracle.csv; audit/stale_reference_audit.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_package_state,The memo distinguishes manuscript-ready evidence from a fully typeset journal submission.
C13,Saved-parameter replay audit,Final GR4J/XAJ/HBV saved parameter artifacts replay under the current code for all 531 basins.,audit/R01_saved_parameter_replay_current_code/saved_parameter_replay_summary.csv,results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\gr4j_pdd_cma_FINAL_pt_v1_local_full.csv; results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\xaj_pdd_cma_FINAL_pt_v1_5k3_local_full.csv; results\10_global_conceptual_model_benchmark\camels_us_531_repro_v01\summary\hbv_lite_cma_FINAL_pt_v1_warmup_local_full.csv,python -X utf8 -m src.xaj_global_pilot.scripts.replay_conceptual_saved_params --out-dir draft/papers/10_18_conceptual_lstm_package/audit/R01_saved_parameter_replay_current_code,reproducible_forward_replay_from_saved_parameters,This validates artifact continuity after code changes; it is not a full CMA-ES recalibration.
C14,D01 basin-attribute diagnostic deep dive,Static CAMELS attributes explain part of the conceptual-structure disagreements and the LSTM margin over the basin-wise highest-NSE conceptual comparator.,deep_dive/D01_structure_diagnostic_20260709/tables/primary_static_spearman.csv,tables/per_basin_combined_nse.csv; data/camels_us/camels_attributes_v2.0,python -X utf8 -m src.lstm_fair_531.scripts.deep_dive_structure_diagnostics,reproducible_posthoc_diagnostic,Primary claims exclude streamflow-derived camels_hydro; hydro signatures are supplemental only.
C15,D02 seasonal residual diagnostic deep dive,Representative case hydrographs show seasonal and high-flow residual patterns consistent with the snow/aridity diagnostic signals.,deep_dive/D02_seasonal_residual_20260709/tables/seasonal_delta_aggregate.csv,deep_dive/D01_structure_diagnostic_20260709/tables/case_basin_list.csv,python -X utf8 -m src.lstm_fair_531.scripts.seasonal_residual_deep_dive,reproducible_selected_case_diagnostic,"Selected cases are diagnostic examples, not population-wide residual estimates."
C16,D03 snow-population seasonal residual diagnostic,"Across all 152 snow-dominated basins, MAM and high-flow residual penalties relative to the LSTM remain population-wide.",deep_dive/D03_population_seasonal_residual_20260709/tables/seasonal_delta_aggregate.csv,deep_dive/D01_structure_diagnostic_20260709/tables/basin_attribute_panel.csv,python -X utf8 -m src.lstm_fair_531.scripts.seasonal_residual_deep_dive --population snow --max-basins 0,reproducible_population_diagnostic,Post-hoc residual diagnosis only; daily NSE reaggregation check reproduces D01 basin NSE within 5e-7.
C17,D04 full-population residual attribute review,"Full-531 seasonal/high-flow residual targets align with D01 snow, topography, aridity, conceptual-spread, and LSTM-gap axes.",deep_dive/D04_full_population_seasonal_residual_20260709/tables/seasonal_attribute_link_checks.csv,deep_dive/D01_structure_diagnostic_20260709/tables/basin_attribute_panel.csv,python -X utf8 -m src.lstm_fair_531.scripts.population_residual_attribute_review,reproducible_population_attribute_review,Uses D01 primary/static attributes only; no camels_hydro attributes are used.
C18,D05 LSTM advantage decomposition,Snow-dominated MAM and high-flow contexts overcontribute to the positive LSTM-vs-best-conceptual MAE gap.,deep_dive/D05_lstm_advantage_decomposition_20260709/tables/top_advantage_contexts.csv,deep_dive/D04_full_population_seasonal_residual_20260709/tables/conceptual_vs_lstm_by_case_season.csv; deep_dive/D04_full_population_seasonal_residual_20260709/tables/conceptual_vs_lstm_by_case_flow_group.csv,python -X utf8 -m src.lstm_fair_531.scripts.lstm_advantage_decomposition,reproducible_population_advantage_decomposition,Uses generated D04 delta artifacts; headline uses MAE best-gap concentration because low-flow NSE can be unstable.
C19,D06 joint season-flow LSTM advantage decomposition,The strongest joint LSTM advantage concentration is snow-dominated MAM high-flow contexts.,deep_dive/D06_joint_season_flow_advantage_20260709/tables/top_joint_advantage_contexts.csv,deep_dive/D04_full_population_seasonal_residual_20260709/tables/daily_residuals_selected_cases.csv.gz,python -X utf8 -m src.lstm_fair_531.scripts.joint_advantage_decomposition,reproducible_joint_population_advantage_decomposition,Post-hoc residual decomposition only; does not claim causal event attribution or LSTM process realism.
C20,Table 7 compact LSTM advantage concentration,"Three headline contexts map context share to positive best-gap share, concentration ratio, and shared failure rate.",tables/lstm_advantage_concentration.csv,deep_dive/D05_lstm_advantage_decomposition_20260709/tables/season_regime_advantage_concentration.csv; deep_dive/D05_lstm_advantage_decomposition_20260709/tables/flow_regime_advantage_concentration.csv; deep_dive/D06_joint_season_flow_advantage_20260709/tables/joint_regime_advantage_concentration.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,reproducible_from_saved_decomposition_artifacts,This table is a compact manuscript view of D05/D06 values and does not add a new model-selection result.
C21,Complete English manuscript draft,"A complete manuscript integrates the benchmark boundary, central decomposition, population support, joint refinement, limitations, and traceability notes.",manuscript_full_draft.md,tables/protocol.csv; tables/parameter_accounting.csv; tables/main_benchmark.csv; tables/paired.csv; tables/conceptual_diagnostics.csv; tables/regime_summary.csv; tables/oracle.csv; tables/lstm_advantage_concentration.csv; deep_dive/D01_structure_diagnostic_20260709/tables/primary_static_spearman.csv; deep_dive/D04_full_population_seasonal_residual_20260709/tables/seasonal_attribute_link_checks.csv; deep_dive/D04_full_population_seasonal_residual_20260709/tables/flow_attribute_link_checks.csv; deep_dive/D05_lstm_advantage_decomposition_20260709/tables/season_regime_advantage_concentration.csv; deep_dive/D05_lstm_advantage_decomposition_20260709/tables/flow_regime_advantage_concentration.csv; deep_dive/D06_joint_season_flow_advantage_20260709/tables/joint_regime_advantage_concentration.csv; manuscript_ready_claim_map.md,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,generated_from_saved_evidence_artifacts,Neutral journal-style Markdown draft; reference entries remain source notes rather than venue-formatted bibliography entries.
C22,Three-step key-point argument chain,"Three key points compress one contribution into concentration, population support, and joint-context refinement.",key_points.md,tables/lstm_advantage_concentration.csv; deep_dive/D01_structure_diagnostic_20260709/tables/primary_static_spearman.csv; deep_dive/D04_full_population_seasonal_residual_20260709/tables/seasonal_attribute_link_checks.csv; deep_dive/D04_full_population_seasonal_residual_20260709/tables/flow_attribute_link_checks.csv; deep_dive/D05_lstm_advantage_decomposition_20260709/tables/season_regime_advantage_concentration.csv; deep_dive/D05_lstm_advantage_decomposition_20260709/tables/flow_regime_advantage_concentration.csv; deep_dive/D06_joint_season_flow_advantage_20260709/tables/joint_regime_advantage_concentration.csv,python -X utf8 -m src.lstm_fair_531.scripts.build_manuscript_evidence_package,generated_from_saved_evidence_artifacts,"The points are one argument at three compression steps, not separate novelty claims."
